# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.723435992639012,6.67489238202557,-2.492063065366798,0,1.0,-0.22674088529309575,0.0,0.0,0.03168298164945937
 0.22428512995307687,6.748564115090058,6.6737987520096,-2.492063065366798,0.22428512995307687,1.0,-0.22674088529309575,0.0071060216565499434,-3.5273205722995478,0.23104533020289728
 0.3165481626130988,6.773483415219994,6.672572363518683,-2.8175043585312385,0.3165481626130988,1.0,-0.23063269862755176,0.02842296450300541,-4.666777148476475,0.5048914408888548
 0.38690882822752426,6.7981939728341265,6.671214249327379,-3.1458619049722336,0.38690882822752426,1.0,-0.23461498200114678,0.06394746234697157,-5.620134219049147,0.8434955360299048
 0.4458616513159601,6.822695867737761,6.669725442210243,-3.4771846833211026,0.4458616513159601,1.0,-0.23869034065900732,0.11367390545842793,-6.47704297616575,1.238315466402719
 0.4974805947365891,6.846989179736204,6.668106974941835,-3.811522798240785,0.49748059473658907,0.9999999999999989,-0.2428614644553807,0.1775944414555597,-7.274964838418959,1.684053983088689
 0.5438594732485097,6.871073988634763,6.66635988029671,-4.148927508660312,0.5438594732485097,1.000000000000001,-0.24713113060528155,0.25569897654474594,-8.034016919127492,2.1770832760264276
 0.5862447148172886,6.894950374238746,6.664485191049429,-4.489451256545187,0.5862447148172886,1.0,-0.2515022065511184,0.34797517711447457,-8.766555439217623,2.714760088979451
 0.6254501293217138,6.918618416353458,6.662483939974546,-4.833147696315738,0.6254501293217138,1.0,-0.25597765286426016,0.45440847168298437,-9.480860752055676,3.2950768551307643
 0.6620421685418355,6.942078194784205,6.66035715984662,-5.1800717247954715,0.6620421685418355,1.0,-0.26056052630307786,0.5749820531992444,-10.182840511346201,3.916463331923713
 0.6964341229870177,6.9653297893362955,6.658105883440209,-5.530279511784245,0.6964341229870177,1.0,-0.2652539828399191,0.7096768816969912,-10.876917459366796,4.5776645671558365
 0.7289386465102102,6.988373279815035,6.65573114352987,-5.883828531202058,0.7289386465102102,1.0,-0.2700612808180447,0.8584716873013931,-11.566533759269404,5.277661252325908
 0.7597991505288364,7.011208746025732,6.6532339728901615,-6.240777592761566,0.7597991505288364,1.0,-0.2749857841729423,1.0213429735877444,-12.254456764114076,6.0156152898636375
 0.7892096163214624,7.03383626777369,6.650615404295641,-6.601186874229757,0.7892096163214625,1.0000000000000038,-0.28003096569049407,1.1982650212918766,-12.942974142939411,6.790831190703154
 0.8173276575033802,7.056255924864219,6.647876470520863,-6.965117954197425,0.8173276575033802,0.999999999999996,-0.28520041030700716,1.3892098923715201,-13.634023684189637,7.602727852910759
 0.8442834483736312,7.078467797102625,6.64501820434039,-7.33263384534849,0.8442834483736312,1.0,-0.29049781864551977,1.594147434418015,-14.329282678952332,8.450817396157706
 0.870186013857923,7.100471964294213,6.6420416385287755,-7.703799028282981,0.8701860138579232,1.0000000000000042,-0.29592701022135215,1.8130452854177825,-15.03023128791311,9.334688937900344
 0.8951277762448305,7.122268506244292,6.63894780586058,-8.078679485686372,0.8951277762448306,1.0,-0.30149192716773576,2.0458688788625867,-15.738198621811607,10.25399591972789
 0.9191879155580144,7.1438575027581654,6.6357377391103585,-8.457342737065717,0.9191879155580145,1.0,-0.30719663758524346,2.2925814492080585,-16.45439698062206,11.208446040320863
 0.9424349015839055,7.165239033641145,6.632412471052671,-8.839857873738705,0.9424349015839056,1.0,-0.313045339215841,2.5531440376793526,-17.179947811153227,12.197793138623833
 0.9649284344406863,7.186413178698532,6.6289730344620725,-9.22629559430666,0.9649284344406864,1.0,-0.31904236295874305,2.827515498423203,-17.915901715115083,13.221830560074006
 0.9867209544153588,7.2073800177356375,6.625420462113123,-9.616728240297574,0.9867209544153589,1.0,-0.3251921764726961,3.1156525050053507,-18.589719151971313,14.224119599781352
 1.0079424472557006,7.228139630557766,6.621755786780379,-10.011229832185098,1.0,0.6257356956244754,-0.3314993878060547,3.4175095572522762,-19.0772573630066,15.099692552886488
 1.0288388615422008,7.248692096970225,6.617980041238398,-10.409876105492671,1.0,0.0,-0.337968748891396,3.7330389884361748,-19.449887260261193,15.890966694206252
 1.0495520120194444,7.26903749677832,6.614094258261737,-10.812744547079882,1.0,0.0,-0.3446051591544619,4.062190972802134,-19.832142911169647,16.693088222969497
 1.0700828183062323,7.2891759097873585,6.610099470624955,-11.219914431441001,1.0,0.0,-0.35141366901989185,4.404913533436182,-20.22431522729001,17.50612978940164
 1.0904322057106663,7.309107415802648,6.605996711102608,-11.631466856990519,1.0,0.0,-0.3583994832882327,4.761152550473019,-20.626703994744858,18.330162955061194
 1.1106011054676161,7.328832094629495,6.601787012469256,-12.047484782176804,1.0,0.0,-0.36556796447819945,5.130851769642203,-21.039618066535624,19.16525803858664
 1.1305904549842158,7.348350026073206,6.597471407499453,-12.46805306140455,1.0,0.0,-0.3729246361298303,5.513952811151333,-21.46337554306081,20.01148394910007
 1.1504011980936204,7.367661289939086,6.5930509289677595,-12.893258480548806,1.0,0.0,-0.3804751858056621,5.910395178904928,-21.898303949059088,20.86890800639185
 1.1700342853173007,7.386765966032444,6.588526609648732,-13.323189792031345,1.0,0.0,-0.3882254680578822,6.320116270057379,-22.34474039770065,21.737595747086853
 1.1894906741361095,7.405664134158586,6.583899482316928,-13.757937749264354,1.0,0.0,-0.3961815070943534,6.743051384898786,-22.803031741758545,22.617610715801604
